reading_package	manip_package	op	type	time	size	max_memory	rows	cols
data.table	data.table	setup	process	0.049356014000000004	19747530143	63974539264	173179759	11
data.table	data.table	setup	real	0.05027127265930176	19747530143	63974539264	173179759	11
data.table	data.table	read	process	365.63006013800003	19747530143	63974539264	173179759	11
data.table	data.table	read	real	95.29237675666809	19747530143	63974539264	173179759	11
data.table	data.table	print	process	0.006093298999985564	19747530143	63974539264	173179759	11
data.table	data.table	print	real	0.006696939468383789	19747530143	63974539264	173179759	11
data.table	data.table	head	process	2.292589999797201e-4	19747530143	63974539264	173179759	11
data.table	data.table	head	real	2.3102760314941406e-4	19747530143	63974539264	173179759	11
data.table	data.table	tail	process	1.8573600004856416e-4	19747530143	63974539264	173179759	11
data.table	data.table	tail	real	1.8715858459472656e-4	19747530143	63974539264	173179759	11
data.table	data.table	sample	process	6.668740000463913e-4	19747530143	63974539264	173179759	11
data.table	data.table	sample	real	6.690025329589844e-4	19747530143	63974539264	173179759	11
data.table	data.table	filter	process	3.5333796889999576	19747530143	63974539264	173179759	11
data.table	data.table	filter	real	1.0772333145141602	19747530143	63974539264	173179759	11
data.table	data.table	aggregate	process	14.88072779800001	19747530143	63974539264	173179759	11
data.table	data.table	aggregate	real	4.706362962722778	19747530143	63974539264	173179759	11
readr	dplyr	setup	process	0.2852784450000001	19747530143	68142870528	173179759	11
readr	dplyr	setup	real	0.2862823009490967	19747530143	68142870528	173179759	11
readr	dplyr	read	process	475.032626874	19747530143	68142870528	173179759	11
readr	dplyr	read	real	475.0412588119507	19747530143	68142870528	173179759	11
readr	dplyr	print	process	0.4224021850000099	19747530143	68142870528	173179759	11
readr	dplyr	print	real	0.836052656173706	19747530143	68142870528	173179759	11
readr	dplyr	head	process	5.290510000008908e-4	19747530143	68142870528	173179759	11
readr	dplyr	head	real	5.30242919921875e-4	19747530143	68142870528	173179759	11
readr	dplyr	tail	process	5.061389999809762e-4	19747530143	68142870528	173179759	11
readr	dplyr	tail	real	5.07354736328125e-4	19747530143	68142870528	173179759	11
readr	dplyr	sample	process	0.014291614999990543	19747530143	68142870528	173179759	11
readr	dplyr	sample	real	0.014293432235717773	19747530143	68142870528	173179759	11
readr	dplyr	filter	process	4.235514479999949	19747530143	68142870528	173179759	11
readr	dplyr	filter	real	4.235594272613525	19747530143	68142870528	173179759	11
readr	dplyr	aggregate	process	13.503164607999963	19747530143	68142870528	173179759	11
readr	dplyr	aggregate	real	13.503409147262573	19747530143	68142870528	173179759	11
vroom	base	setup	process	0.24334018300000015	19747530143	94792810496	173179759	11
vroom	base	setup	real	0.24334383010864258	19747530143	94792810496	173179759	11
vroom	base	read	process	280.08802939099996	19747530143	94792810496	173179759	11
vroom	base	read	real	20.344595670700073	19747530143	94792810496	173179759	11
vroom	base	print	process	2.7922258899999974	19747530143	94792810496	173179759	11
vroom	base	print	real	3.047116756439209	19747530143	94792810496	173179759	11
vroom	base	head	process	2.6394799999707175e-4	19747530143	94792810496	173179759	11
vroom	base	head	real	2.655982971191406e-4	19747530143	94792810496	173179759	11
vroom	base	tail	process	4.8234499996624436e-4	19747530143	94792810496	173179759	11
vroom	base	tail	real	4.837512969970703e-4	19747530143	94792810496	173179759	11
vroom	base	sample	process	2.3426100000278893e-4	19747530143	94792810496	173179759	11
vroom	base	sample	real	2.353191375732422e-4	19747530143	94792810496	173179759	11
vroom	base	filter	process	21.519468974000006	19747530143	94792810496	173179759	11
vroom	base	filter	real	21.5198495388031	19747530143	94792810496	173179759	11
vroom	base	aggregate	process	162.64416488300003	19747530143	94792810496	173179759	11
vroom	base	aggregate	real	142.6223108768463	19747530143	94792810496	173179759	11
vroom	dplyr	setup	process	0.3229789220000001	19747530143	94496784384	173179759	11
vroom	dplyr	setup	real	0.3229827880859375	19747530143	94496784384	173179759	11
vroom	dplyr	read	process	281.055523347	19747530143	94496784384	173179759	11
vroom	dplyr	read	real	20.365679502487183	19747530143	94496784384	173179759	11
vroom	dplyr	print	process	2.542836164999983	19747530143	94496784384	173179759	11
vroom	dplyr	print	real	2.785041570663452	19747530143	94496784384	173179759	11
vroom	dplyr	head	process	9.97338999980002e-4	19747530143	94496784384	173179759	11
vroom	dplyr	head	real	9.989738464355469e-4	19747530143	94496784384	173179759	11
vroom	dplyr	tail	process	4.8055199999907927e-4	19747530143	94496784384	173179759	11
vroom	dplyr	tail	real	4.818439483642578e-4	19747530143	94496784384	173179759	11
vroom	dplyr	sample	process	0.01243754600000102	19747530143	94496784384	173179759	11
vroom	dplyr	sample	real	0.012439489364624023	19747530143	94496784384	173179759	11
vroom	dplyr	filter	process	23.858187990000033	19747530143	94496784384	173179759	11
vroom	dplyr	filter	real	23.858795642852783	19747530143	94496784384	173179759	11
vroom	dplyr	aggregate	process	65.63478174599999	19747530143	94496784384	173179759	11
vroom	dplyr	aggregate	real	65.63620686531067	19747530143	94496784384	173179759	11
vroom_no_altrep	dplyr	setup	process	0.317607953	19747530143	67751387136	173179759	11
vroom_no_altrep	dplyr	setup	real	0.31838297843933105	19747530143	67751387136	173179759	11
vroom_no_altrep	dplyr	read	process	607.194956447	19747530143	67751387136	173179759	11
vroom_no_altrep	dplyr	read	real	232.3293113708496	19747530143	67751387136	173179759	11
vroom_no_altrep	dplyr	print	process	2.005394704000082	19747530143	67751387136	173179759	11
vroom_no_altrep	dplyr	print	real	2.162087917327881	19747530143	67751387136	173179759	11
vroom_no_altrep	dplyr	head	process	0.0010485940000535265	19747530143	67751387136	173179759	11
vroom_no_altrep	dplyr	head	real	0.0010504722595214844	19747530143	67751387136	173179759	11
vroom_no_altrep	dplyr	tail	process	4.88735000089946e-4	19747530143	67751387136	173179759	11
vroom_no_altrep	dplyr	tail	real	4.901885986328125e-4	19747530143	67751387136	173179759	11
vroom_no_altrep	dplyr	sample	process	0.0136381549999669	19747530143	67751387136	173179759	11
vroom_no_altrep	dplyr	sample	real	0.013639688491821289	19747530143	67751387136	173179759	11
vroom_no_altrep	dplyr	filter	process	10.491835902000048	19747530143	67751387136	173179759	11
vroom_no_altrep	dplyr	filter	real	10.491984844207764	19747530143	67751387136	173179759	11
vroom_no_altrep	dplyr	aggregate	process	7.2028114820000155	19747530143	67751387136	173179759	11
vroom_no_altrep	dplyr	aggregate	real	7.202939510345459	19747530143	67751387136	173179759	11
